rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Kalčini gornji - Calcini superiori,Kalčini gornji,,Calcini superiori,,,
Kalčini mali - Calcini piccoli,Kalčini mali,,Calcini piccoli,,,
Kaldanija - Caldania,Kaldanija,,Caldania,,,
Kalegarići - Callegarici,Kalegarići,,Callegarici,,,
Kamenolomska ulica - Via della Cava,Kamenolomska ulica,,Via della Cava,,,
Kamenorezačka ulica - Via dei tagliapietra,Kamenorezačka ulica,,Via dei tagliapietra,,,
Kampac,Kampac,,Campaz,,,
Kampi,Kampi,,Campi,,,
Kanal - Canal,Kanal,,Canal,,,
Kandlerova ulica - Via Pietro Kandler,Kandlerova ulica,,Via Pietro Kandler,,,
Kanedolo - Canedolo,Kanedolo,,Canedolo,,,
Kanegra - Canegra,Kanegra,,Canegra,,,
Kanfanarska ulica - Via Canfanaro,Kanfanarska ulica,,Via Canfanaro,,,
Kapitanija - Capitania,Kapitanija,,Capitania,,,
Kapitolinski trg - Piazza capitolina,Kapitolinski trg,,Piazza capitolina,,,
Kapucinska ulica - Via dei Cappuccini,Kapucinska ulica,,Via dei Cappuccini,,,
Karigador - Carigador,Karigador,,Carigador,,,
Karla Huguesa,Ulica Karla Huguesa,,Via Karlo Hugues,,,
Karlovačka ulica - Via Karlovac,Karlovačka ulica,,Via Karlovac,,,
Karpijan - Carpiano,Karpijan,,Carpiano,,,
Karpinjanska ulica - Via Carpignano,Karpinjanska ulica,,Via Carpignano,,,
Kašeti - Cassetti,Kašeti,,Cassetti,,,
Kašićeva ulica - Via Bartol Kašić,Kašićeva ulica,,Via Bartol Kašić,,,
Kastavska ulica - Via Castua,Kastavska ulica,,Via Castua,,,
Kaštel - Castelvenere,Kaštel,,Castelvenere,,,
Kaštelir - Castellier,Kaštelir,,Castellier,,,
Kaštelirska,Kaštelirska ulica,,Via Castellier,,,
Kaštelska ulica - Via Castelvenere,Kaštelska ulica,,Via Castelvenere,,,
Kate Pejnović,Ulica Kate Pejnović,,Via Kata Pejnović,,,Q3446999
Katoro - Catoro,Katoro,,Catoro,,,
Katun - Cattuni,Katun,,Cattuni,,,
Katunari Pisini - Cattunari Pisine,Katunari Pisini,,Cattunari Pisine,,,
